TRONE BBBBB1 IMPLY GGGGG2
      BBBBS1 IDEAS GSSBB2 IMBED GGGGG3
                   GGGGB2 IDEAL GGGGG3
                   GGGGG2
      BBBBG1 ISSUE GGGGG2
      BBBSS1 INKED GGGGG2
      BBBGB1 ICING GGGGG2
      BBSBB1 IGLOO GGGGG2
      BBSSB1 IONIC GGGGG2
      BBGBB1 IDOLS GGGGG2
      BSBBS1 ICIER GGGGG2
      BSBSB1 INCUR GGGGG2
      BSBSS1 INFER GGGGG2
      BSSBB1 ICHOR GGGGG2
      BGGGB1 IRONY GGGGG2
      SBBBB1 ITCHY GGGGG2
      SBBSB1 INPUT GGGGG2
      SBBSS1 INEPT GGGGG2
      SBSBB1 IDIOT GGGGG2
      SSSSB1 INTRO GGGGG2
